49431	1.9727e+05
1.9727e+05	2933
2933	1.7746e+05
1.7746e+05	46133
46133	1.9721e+05
1.9721e+05	12439
12439	1.8565e+05
1.8565e+05	49495
49495	1.9734e+05
1.9734e+05	807
807	1.7592e+05
1.7592e+05	44597
44597	1.9718e+05
1.9718e+05	11701
11701	1.8412e+05
1.8412e+05	49463
49463	1.973e+05
1.973e+05	3159
3159	1.7797e+05
1.7797e+05	46645
46645	1.9724e+05
1.9724e+05	12471
12471	1.8616e+05
1.8616e+05	49527
49527	1.9737e+05
1.9737e+05	59
59	1.7532e+05
1.7532e+05	43989
43989	1.9714e+05
1.9714e+05	11093
11093	1.8351e+05
1.8351e+05	49423
49423	1.9726e+05
1.9726e+05	2837
2837	1.7736e+05
1.7736e+05	46037
46037	1.972e+05
1.972e+05	12431
12431	1.8556e+05
1.8556e+05	49487
49487	1.9733e+05
1.9733e+05	757
757	1.7583e+05
1.7583e+05	44501
44501	1.9717e+05
1.9717e+05	11605
11605	1.8402e+05
1.8402e+05	49455
49455	1.973e+05
1.973e+05	3151
3151	1.7788e+05
1.7788e+05	46549
46549	1.9723e+05
1.9723e+05	12463
12463	1.8607e+05
1.8607e+05	49519
49519	1.9736e+05
1.9736e+05	215
215	1.7544e+05
1.7544e+05	44117
44117	1.9715e+05
1.9715e+05	11221
11221	1.8364e+05
1.8364e+05	49439
49439	1.9728e+05
1.9728e+05	2965
2965	1.7749e+05
1.7749e+05	46165
46165	1.9722e+05
1.9722e+05	12447
12447	1.8568e+05
1.8568e+05	49503
49503	1.9734e+05
1.9734e+05	815
815	1.7596e+05
1.7596e+05	44629
44629	1.9718e+05
1.9718e+05	11733
11733	1.8415e+05
1.8415e+05	49471
49471	1.9731e+05
1.9731e+05	3167
3167	1.78e+05
1.78e+05	46677
46677	1.9725e+05
1.9725e+05	12479
12479	1.862e+05
1.862e+05	49535
49535	1.9738e+05
1.9738e+05	2
2	2.6317e+05
2.6317e+05	66047
66047	2.1922e+05
2.1922e+05	16639
16639	2.6304e+05
2.6304e+05	54997
54997	2.0284e+05
2.0284e+05	4223
4223	2.631e+05
2.631e+05	65983
65983	2.1512e+05
2.1512e+05	13845
13845	2.6298e+05
2.6298e+05	50901
50901	1.9874e+05
1.9874e+05	1087
1087	2.6314e+05
2.6314e+05	66015
66015	2.182e+05
2.182e+05	16607
16607	2.6301e+05
2.6301e+05	53973
53973	2.0181e+05
